pair,participant,trial,trial_id,story_id,target,correct_target,icon,index,prop,size,distance,item_num,producer,guesser,strategy_combo
17,1,5,3,cd3,mountains,1,1,0,0,complete,displaced,3,17_1,17_2,icon_only
17,2,6,7,cp3,laboratory,0,0,1,0,complete,proximate,3,17_2,17_1,index_only
17,1,7,16,ep4,painting,1,1,1,0,element,proximate,4,17_1,17_2,both
17,2,8,14,ep2,chair,1,0,1,0,element,proximate,2,17_2,17_1,index_only
17,1,9,2,cd2,attic,0,1,0,0,complete,displaced,2,17_1,17_2,icon_only
17,2,10,10,ed2,sofa,1,1,1,0,element,displaced,2,17_2,17_1,both
17,1,11,15,ep3,coathanger,1,1,0,0,element,proximate,3,17_1,17_2,icon_only
17,2,12,5,cp1,room,0,0,1,0,complete,proximate,1,17_2,17_1,index_only
17,1,13,11,ed3,tree,1,1,0,0,element,displaced,3,17_1,17_2,icon_only
17,2,14,6,cp2,basement,0,0,0,1,complete,proximate,2,17_2,17_1,neither
17,1,15,1,cd1,house,0,1,0,1,complete,displaced,1,17_1,17_2,icon_only
17,2,16,12,ed4,carpet,1,0,1,0,element,displaced,4,17_2,17_1,index_only
18,1,1,8,cp4,city,0,1,0,0,complete,proximate,4,18_1,18_2,icon_only
18,2,2,12,ed4,carpet,1,0,1,0,element,displaced,4,18_2,18_1,index_only
18,1,3,4,cd4,countryside,1,1,0,0,complete,displaced,4,18_1,18_2,icon_only
18,2,4,15,ep3,coathanger,1,0,1,0,element,proximate,3,18_2,18_1,index_only
18,1,5,10,ed2,sofa,1,1,1,1,element,displaced,2,18_1,18_2,both
18,2,6,13,ep1,window,1,0,1,0,element,proximate,1,18_2,18_1,index_only
18,1,7,14,ep2,chair,1,0,1,0,element,proximate,2,18_1,18_2,index_only
18,2,8,3,cd3,mountains,0,1,0,0,complete,displaced,3,18_2,18_1,icon_only
18,1,9,16,ep4,painting,1,1,1,0,element,proximate,4,18_1,18_2,both
18,2,10,11,ed3,tree,1,1,0,0,element,displaced,3,18_2,18_1,icon_only
18,1,11,6,cp2,basement,1,1,1,0,complete,proximate,2,18_1,18_2,both
18,2,12,7,cp3,laboratory,1,0,1,0,complete,proximate,3,18_2,18_1,index_only
18,1,13,2,cd2,attic,1,1,0,0,complete,displaced,2,18_1,18_2,icon_only
18,2,14,1,cd1,house,0,1,0,0,complete,displaced,1,18_2,18_1,icon_only
18,1,15,9,ed1,stairs,1,1,0,1,element,displaced,1,18_1,18_2,icon_only
18,2,16,5,cp1,room,1,1,1,0,complete,proximate,1,18_2,18_1,both
19,1,1,14,ep2,chair,1,1,1,0,element,proximate,2,19_1,19_2,both
19,2,2,5,cp1,room,1,1,1,0,complete,proximate,1,19_2,19_1,both
19,1,3,15,ep3,coathanger,1,1,1,0,element,proximate,3,19_1,19_2,both
19,2,4,10,ed2,sofa,0,1,1,0,element,displaced,2,19_2,19_1,both
19,1,5,13,ep1,window,1,1,1,1,element,proximate,1,19_1,19_2,both
19,2,6,12,ed4,carpet,1,1,1,0,element,displaced,4,19_2,19_1,both
19,1,7,6,cp2,basement,1,1,1,1,complete,proximate,2,19_1,19_2,both
19,2,8,9,ed1,stairs,1,1,0,0,element,displaced,1,19_2,19_1,icon_only
19,1,9,1,cd1,house,0,0,0,1,complete,displaced,1,19_1,19_2,neither
19,2,10,11,ed3,tree,1,1,0,0,element,displaced,3,19_2,19_1,icon_only
19,1,11,8,cp4,city,1,0,1,0,complete,proximate,4,19_1,19_2,index_only
19,2,12,3,cd3,mountains,0,1,0,0,complete,displaced,3,19_2,19_1,icon_only
19,1,13,2,cd2,attic,1,1,0,0,complete,displaced,2,19_1,19_2,icon_only
19,2,14,4,cd4,countryside,1,1,0,0,complete,displaced,4,19_2,19_1,icon_only
19,1,15,16,ep4,painting,1,1,0,1,element,proximate,4,19_1,19_2,icon_only
19,2,16,7,cp3,laboratory,1,1,1,1,complete,proximate,3,19_2,19_1,both
20,1,1,14,ep2,chair,0,0,1,0,element,proximate,2,20_1,20_2,index_only
20,2,2,15,ep3,coathanger,0,0,1,0,element,proximate,3,20_2,20_1,index_only
20,1,3,1,cd1,house,1,1,0,1,complete,displaced,1,20_1,20_2,icon_only
20,2,4,3,cd3,mountains,1,1,0,0,complete,displaced,3,20_2,20_1,icon_only
20,1,5,5,cp1,room,1,0,1,0,complete,proximate,1,20_1,20_2,index_only
20,2,6,8,cp4,city,1,0,1,0,complete,proximate,4,20_2,20_1,index_only
20,1,7,11,ed3,tree,0,0,0,1,element,displaced,3,20_1,20_2,neither
